[SLM] resuming from existing checkpoint: /Users/ravindrasingh/Documents/AI-Agents/PikuAI/pikuai-gaurdrails/models/piku-slm-guardrail-smollm2-135m/pytorch_model.bin
[SLM] training start: device=mps train_rows=79520 dev_rows=9933 batch_size=2 max_length=128 freeze_backbone=True resume_if_available=True
[SLM] epoch 1/1 start
[SLM] epoch 1 batch 1/39760 loss=5.8706
[SLM] epoch 1 batch 25/39760 loss=6.0023
[SLM] epoch 1 batch 50/39760 loss=6.7003
[SLM] epoch 1 batch 75/39760 loss=4.5482
[SLM] epoch 1 batch 100/39760 loss=4.5928
[SLM] epoch 1 batch 125/39760 loss=4.5404
[SLM] epoch 1 batch 150/39760 loss=5.0346
[SLM] epoch 1 batch 175/39760 loss=16.0054
[SLM] epoch 1 batch 200/39760 loss=4.4033
[SLM] epoch 1 batch 225/39760 loss=13.1535
[SLM] epoch 1 batch 250/39760 loss=17.9634
[SLM] epoch 1 batch 275/39760 loss=8.3766
[SLM] epoch 1 batch 300/39760 loss=3.8680
[SLM] epoch 1 batch 325/39760 loss=9.2416
[SLM] epoch 1 batch 350/39760 loss=8.4448
[SLM] epoch 1 batch 375/39760 loss=5.0044
[SLM] epoch 1 batch 400/39760 loss=7.5492
[SLM] epoch 1 batch 425/39760 loss=3.5483
[SLM] epoch 1 batch 450/39760 loss=6.9616
[SLM] epoch 1 batch 475/39760 loss=3.4937
[SLM] epoch 1 batch 500/39760 loss=3.6765
[SLM] epoch 1 batch 525/39760 loss=5.3121
[SLM] epoch 1 batch 550/39760 loss=8.0150
[SLM] epoch 1 batch 575/39760 loss=3.5174
[SLM] epoch 1 batch 600/39760 loss=49.4550
[SLM] epoch 1 batch 625/39760 loss=5.4561
[SLM] epoch 1 batch 650/39760 loss=6.8696
[SLM] epoch 1 batch 675/39760 loss=11.1878
[SLM] epoch 1 batch 700/39760 loss=3.8077
[SLM] epoch 1 batch 725/39760 loss=4.2927
[SLM] epoch 1 batch 750/39760 loss=3.3481
[SLM] epoch 1 batch 775/39760 loss=14.2734
[SLM] epoch 1 batch 800/39760 loss=12.9298
[SLM] epoch 1 batch 825/39760 loss=3.6939
[SLM] epoch 1 batch 850/39760 loss=4.2315
[SLM] epoch 1 batch 875/39760 loss=3.4416
[SLM] epoch 1 batch 900/39760 loss=3.4669
[SLM] epoch 1 batch 925/39760 loss=3.4094
[SLM] epoch 1 batch 950/39760 loss=3.3723
[SLM] epoch 1 batch 975/39760 loss=7.0016
[SLM] epoch 1 batch 1000/39760 loss=11.0759
[SLM] epoch 1 batch 1025/39760 loss=13.4134
[SLM] epoch 1 batch 1050/39760 loss=45.8733
[SLM] epoch 1 batch 1075/39760 loss=3.3804
[SLM] epoch 1 batch 1100/39760 loss=16.9711
[SLM] epoch 1 batch 1125/39760 loss=16.7447
[SLM] epoch 1 batch 1150/39760 loss=44.7227
[SLM] epoch 1 batch 1175/39760 loss=3.8161
[SLM] epoch 1 batch 1200/39760 loss=7.2070
[SLM] epoch 1 batch 1225/39760 loss=3.5884
[SLM] epoch 1 batch 1250/39760 loss=3.3232
[SLM] epoch 1 batch 1275/39760 loss=3.1702
[SLM] epoch 1 batch 1300/39760 loss=3.8693
[SLM] epoch 1 batch 1325/39760 loss=3.4273
[SLM] epoch 1 batch 1350/39760 loss=3.9232
[SLM] epoch 1 batch 1375/39760 loss=3.4623
[SLM] epoch 1 batch 1400/39760 loss=3.4080
[SLM] epoch 1 batch 1425/39760 loss=14.7563
[SLM] epoch 1 batch 1450/39760 loss=3.5001
[SLM] epoch 1 batch 1475/39760 loss=3.1962
[SLM] epoch 1 batch 1500/39760 loss=42.0727
[SLM] epoch 1 batch 1525/39760 loss=3.9798
[SLM] epoch 1 batch 1550/39760 loss=8.5499
[SLM] epoch 1 batch 1575/39760 loss=4.0913
[SLM] epoch 1 batch 1600/39760 loss=4.0386
[SLM] epoch 1 batch 1625/39760 loss=3.2678
[SLM] epoch 1 batch 1650/39760 loss=5.7377
[SLM] epoch 1 batch 1675/39760 loss=3.7708
[SLM] epoch 1 batch 1700/39760 loss=5.1693
[SLM] epoch 1 batch 1725/39760 loss=3.7674
[SLM] epoch 1 batch 1750/39760 loss=3.4122
[SLM] epoch 1 batch 1775/39760 loss=6.7591
[SLM] epoch 1 batch 1800/39760 loss=4.8825
[SLM] epoch 1 batch 1825/39760 loss=4.7665
[SLM] epoch 1 batch 1850/39760 loss=3.2356
[SLM] epoch 1 batch 1875/39760 loss=3.5176
[SLM] epoch 1 batch 1900/39760 loss=4.0842
[SLM] epoch 1 batch 1925/39760 loss=6.5872
[SLM] epoch 1 batch 1950/39760 loss=3.9401
[SLM] epoch 1 batch 1975/39760 loss=3.2937
[SLM] epoch 1 batch 2000/39760 loss=7.5170
[SLM] epoch 1 batch 2025/39760 loss=6.8309
[SLM] epoch 1 batch 2050/39760 loss=3.3678
[SLM] epoch 1 batch 2075/39760 loss=3.4836
[SLM] epoch 1 batch 2100/39760 loss=3.8594
[SLM] epoch 1 batch 2125/39760 loss=6.0251
[SLM] epoch 1 batch 2150/39760 loss=7.3717
[SLM] epoch 1 batch 2175/39760 loss=4.8218
[SLM] epoch 1 batch 2200/39760 loss=4.0253
[SLM] epoch 1 batch 2225/39760 loss=3.5907
[SLM] epoch 1 batch 2250/39760 loss=3.0691
[SLM] epoch 1 batch 2275/39760 loss=3.1633
[SLM] epoch 1 batch 2300/39760 loss=3.2572
[SLM] epoch 1 batch 2325/39760 loss=4.9812
[SLM] epoch 1 batch 2350/39760 loss=3.1698
[SLM] epoch 1 batch 2375/39760 loss=7.2127
[SLM] epoch 1 batch 2400/39760 loss=14.4465
[SLM] epoch 1 batch 2425/39760 loss=2.8610
[SLM] epoch 1 batch 2450/39760 loss=4.2076
[SLM] epoch 1 batch 2475/39760 loss=3.8607
[SLM] epoch 1 batch 2500/39760 loss=2.8987
[SLM] epoch 1 batch 2525/39760 loss=7.2484
[SLM] epoch 1 batch 2550/39760 loss=4.1413
[SLM] epoch 1 batch 2575/39760 loss=5.2564
[SLM] epoch 1 batch 2600/39760 loss=2.8883
[SLM] epoch 1 batch 2625/39760 loss=7.1729
[SLM] epoch 1 batch 2650/39760 loss=3.7763
[SLM] epoch 1 batch 2675/39760 loss=4.3855
[SLM] epoch 1 batch 2700/39760 loss=3.0621
[SLM] epoch 1 batch 2725/39760 loss=3.1818
[SLM] epoch 1 batch 2750/39760 loss=2.7264
[SLM] epoch 1 batch 2775/39760 loss=3.0655
[SLM] epoch 1 batch 2800/39760 loss=4.2510
[SLM] epoch 1 batch 2825/39760 loss=3.2043
[SLM] epoch 1 batch 2850/39760 loss=6.0366
[SLM] epoch 1 batch 2875/39760 loss=6.7948
[SLM] epoch 1 batch 2900/39760 loss=3.2505
[SLM] epoch 1 batch 2925/39760 loss=2.8372
[SLM] epoch 1 batch 2950/39760 loss=4.3179
[SLM] epoch 1 batch 2975/39760 loss=3.2052
[SLM] epoch 1 batch 3000/39760 loss=4.0798
[SLM] epoch 1 batch 3025/39760 loss=3.4945
[SLM] epoch 1 batch 3050/39760 loss=3.1213
[SLM] epoch 1 batch 3075/39760 loss=3.3758
[SLM] epoch 1 batch 3100/39760 loss=4.2415
[SLM] epoch 1 batch 3125/39760 loss=3.0509
[SLM] epoch 1 batch 3150/39760 loss=3.6846
[SLM] epoch 1 batch 3175/39760 loss=5.7126
[SLM] epoch 1 batch 3200/39760 loss=2.5463
[SLM] epoch 1 batch 3225/39760 loss=2.7938
[SLM] epoch 1 batch 3250/39760 loss=4.6636
[SLM] epoch 1 batch 3275/39760 loss=3.0483
[SLM] epoch 1 batch 3300/39760 loss=7.2920
[SLM] epoch 1 batch 3325/39760 loss=4.0855
[SLM] epoch 1 batch 3350/39760 loss=2.9412
[SLM] epoch 1 batch 3375/39760 loss=11.7358
[SLM] epoch 1 batch 3400/39760 loss=11.9463
[SLM] epoch 1 batch 3425/39760 loss=3.3160
[SLM] epoch 1 batch 3450/39760 loss=2.6840
[SLM] epoch 1 batch 3475/39760 loss=3.1481
[SLM] epoch 1 batch 3500/39760 loss=4.0333
[SLM] epoch 1 batch 3525/39760 loss=2.6382
[SLM] epoch 1 batch 3550/39760 loss=6.1870
[SLM] epoch 1 batch 3575/39760 loss=2.7826
[SLM] epoch 1 batch 3600/39760 loss=3.1179
[SLM] epoch 1 batch 3625/39760 loss=10.6715
[SLM] epoch 1 batch 3650/39760 loss=3.5852
[SLM] epoch 1 batch 3675/39760 loss=2.3907
[SLM] epoch 1 batch 3700/39760 loss=12.2447
[SLM] epoch 1 batch 3725/39760 loss=3.9299
[SLM] epoch 1 batch 3750/39760 loss=2.8063
[SLM] epoch 1 batch 3775/39760 loss=2.7503
[SLM] epoch 1 batch 3800/39760 loss=11.8662
[SLM] epoch 1 batch 3825/39760 loss=3.6676
[SLM] epoch 1 batch 3850/39760 loss=2.9439
[SLM] epoch 1 batch 3875/39760 loss=2.7116
[SLM] epoch 1 batch 3900/39760 loss=3.7241
[SLM] epoch 1 batch 3925/39760 loss=2.6184
[SLM] epoch 1 batch 3950/39760 loss=2.5358
[SLM] epoch 1 batch 3975/39760 loss=2.8344
[SLM] epoch 1 batch 4000/39760 loss=2.7069
[SLM] epoch 1 batch 4025/39760 loss=3.0957
[SLM] epoch 1 batch 4050/39760 loss=3.7403
[SLM] epoch 1 batch 4075/39760 loss=2.6746
[SLM] epoch 1 batch 4100/39760 loss=2.4400
[SLM] epoch 1 batch 4125/39760 loss=2.8652
[SLM] epoch 1 batch 4150/39760 loss=3.0514
[SLM] epoch 1 batch 4175/39760 loss=7.0568
[SLM] epoch 1 batch 4200/39760 loss=6.7180
[SLM] epoch 1 batch 4225/39760 loss=3.3666
[SLM] epoch 1 batch 4250/39760 loss=15.1009
[SLM] epoch 1 batch 4275/39760 loss=2.3841
[SLM] epoch 1 batch 4300/39760 loss=2.7642
[SLM] epoch 1 batch 4325/39760 loss=2.8058
[SLM] epoch 1 batch 4350/39760 loss=3.3985
[SLM] epoch 1 batch 4375/39760 loss=3.3183
[SLM] epoch 1 batch 4400/39760 loss=2.2391
[SLM] epoch 1 batch 4425/39760 loss=7.5423
[SLM] epoch 1 batch 4450/39760 loss=2.6543
